Manufacturer,Range Name,Fitted System Type,Model Number,Group Filter,Room to Exclude,Capacity Cooling (kW),Heating Capacity (kW),Height (mm),Width (mm),Depth (mm),Air Gap (mm),Retail Price (£),Discount (%),Trade Price (£),Colour,Colour Hex,Corresponding Outdoor Unit,Connection Pipe Liquid,Connection Pipe Gas,Unit Photo,PDF,Web Link,Compatible with Multisplit
Daikin,Emura,Wall Mounted,FTXJ20AW9,Daikin Premium,N/A,2,2.5,305,900,212,100,452,34,298.32,White,#FDFDFD,RXJ20A9 ,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c90be6a71eadc89e9b_Emura-White.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AW9.html,yes
Daikin,Emura,Wall Mounted,FTXJ20AS9,Daikin Premium,N/A,2,2.5,305,900,212,100,539,34,355.74,Silver,#DDDADD,RXJ20A9 ,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c992b612e4263ffa62_Emura-Silver.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AS9.html,yes
Daikin,Emura,Wall Mounted,FTXJ20AB9,Daikin Premium,N/A,2,2.5,305,900,212,100,496,34,327.36,Black,#1B262C,RXJ20A9 ,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c93561edb32e7ace45_Emura-Black.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AB9.html,yes
Daikin,Emura,Wall Mounted,FTXJ25AW9,Daikin Premium,N/A,2.5,2.8,305,900,212,100,475,34,313.50,White,#FDFDFD,RXJ25A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c90be6a71eadc89e9b_Emura-White.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AW9.html,yes
Daikin,Emura,Wall Mounted,FTXJ25AS9,Daikin Premium,N/A,2.5,2.8,305,900,212,100,567,34,374.22,Silver,#DDDADD,RXJ25A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c992b612e4263ffa62_Emura-Silver.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AS9.html,yes
Daikin,Emura,Wall Mounted,FTXJ25AB9,Daikin Premium,N/A,2.5,2.8,305,900,212,100,522,34,344.52,Black,#1B262C,RXJ25A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c93561edb32e7ace45_Emura-Black.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AB9.html,yes
Daikin,Emura,Wall Mounted,FTXJ35AW9,Daikin Premium,N/A,3.4,4,305,900,212,100,534,34,352.44,White,#FDFDFD,RXJ35A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c90be6a71eadc89e9b_Emura-White.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AW9.html,yes
Daikin,Emura,Wall Mounted,FTXJ35AS9,Daikin Premium,N/A,3.4,4,305,900,212,100,635,34,419.10,Silver,#DDDADD,RXJ35A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c992b612e4263ffa62_Emura-Silver.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AS9.html,yes
Daikin,Emura,Wall Mounted,FTXJ35AB9,Daikin Premium,N/A,3.4,4,305,900,212,100,586,34,386.76,Black,#1B262C,RXJ35A9,1/4 Inch (6.35mm),3/8 Inch (9.53mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c93561edb32e7ace45_Emura-Black.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AB9.html,yes
Daikin,Emura,Wall Mounted,FTXJ42AW9,Daikin Premium,N/A,4.2,5.4,305,900,212,100,603,34,397.98,White,#FDFDFD,RXJ42A9,1/4 Inch (6.35mm),1/2 Inch (12.7mm),https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a95c90be6a71eadc89e9b_Emura-White.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68791ee50f00f6ba4ed692b1_21.pdf,https://www.daikin.co.uk/en_gb/products/product.html/FTXJ-AW9.html,yes
