Manufacturer,Split Type,Nominal Cooling (kW),Heating Capacity (kW),Maximum Reduced Duty (kW),Max Number of Connected In-door Units (Multi-split only),Model Number,Height (mm),Width (mm),Depth (mm),Phase,Max Fuse Size (Amp),Connection Pipe Liquid,Connection Pipe Gas,Connection Pipe Gas 2,Connection Pipe Gas 3,Max Pipe Length Individual (m),Max Pipe Length Total (m),Min Pipe Run (m),Max Height Difference (m),Additional Grams Per Meter (g/m),Pre-Charge Length (m),Pre-Charge (kg),Refrigerant,Retail Price (£),Discount (%),Trade Price (£),Unit Photo,PDF,Web Link
Daikin,Multi Split,4,4.2,6,2,2MXM40A9,552,852,350,Single Phase,16,1/4 Inch (6.35mm),3/8 Inch (9.53mm),,,20,30,0,15,0,0,0.88,R32,1581,34,1043.46,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://www.daikin.co.uk/en_gb/products/product.html/2MXM-A9.html
Daikin,Multi Split,5,5.6,9,2,2MXM50A9,552,852,350,Single Phase,16,1/4 Inch (6.35mm),3/8 Inch (9.53mm),,,20,30,0,15,0,0,1.15,R32,1749,34,1154.34,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://www.daikin.co.uk/en_gb/products/product.html/2MXM-A9.html
Daikin,Multi Split,6.8,8.6,10,2,2MXM68A9,734,974,408,Single Phase,20,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),,25,50,0,15,0,0,2,R32,2098,34,1384.68,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://www.daikin.co.uk/en_gb/products/product.html/2MXM-A9.html
Daikin,Multi Split,4,4.6,7,3,3MXM40A9,734,974,408,Single Phase,16,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),,25,50,0,15,0,0,1.8,R32,1648,34,1087.68,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Daikin,Multi Split,5.2,6.8,8.5,3,3MXM52A9,734,974,408,Single Phase,20,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),,25,50,0,15,0,0,1.8,R32,1831,34,1208.46,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Daikin,Multi Split,6.8,8.6,11,3,3MXM68A9,734,974,408,Single Phase,20,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),,25,50,0,15,0,0,2,R32,2594,34,1712.04,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Daikin,Multi Split,6.8,8.6,12,4,4MXM68A9,734,974,408,Single Phase,20,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),,25,60,0,15,0,0,2,R32,2796,34,1845.36,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Daikin,Multi Split,8,9.6,14,4,4MXM80A9,734,974,408,Single Phase,25,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),5/8 Inch (15.88mm),25,70,0,15,0,0,2.4,R32,3148,34,2077.68,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Daikin,Multi Split,9,10,15,5,5MXM90A9,734,974,408,Single Phase,32,1/4 Inch (6.35mm),3/8 Inch (9.53mm),1/2 Inch (12.7mm),5/8 Inch (15.88mm),25,75,0,15,0,0,2.4,R32,3389,34,2236.74,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a927c18c5eab31ba459b6_2-5MXM-A9.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc03ee423c78e7175058b_multisplit.pdf
Mitsubishi Electric,Multi Split,3.3,4,3.8,2,MXZ-2F33VF4,550,800,285,Single Phase,16,,,,,15,15,0,10,0,0,0.8,R32,835,26,617.90,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/6887a610d7511fad5f57aa2f_1-3.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc09e34f205acd985804a_mitsu-Multi.pdf,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687fc09e34f205acd985804a_mitsu-Multi.pdf
