Manufacturer,Split Type,Nominal Cooling (kW),Heating Capacity (kW),Max Number of Connected In-door Units (Multi-split only),Model Number,Width (mm),Depth (mm),Height (mm),Phase,Max Fuse Size (Amp),Max Input Current,Connection Pipe Liquid,Connection Pipe Gas,Max Pipe Length (m),Min Pipe Length (m),Max Height Difference (m),Additional Grams Per Meter (g/m),Pre-Charge Length (m),Pre-Charge (kg),Refrigerant,Retail Price (£),Discount (%),Trade Price (£),Unit Photo,PDF,Web Link
Fujitsu,Single Split,2,2.5,,AOEH07KMCG,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.75,R32,561,50,280.50,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/6888958c0522df17afdb53a0_AOEH-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f40b131745622506_5.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
Fujitsu,Single Split,2.5,2.8,,AOEH09KMCG,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.75,R32,582,50,291.00,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/6888958c0522df17afdb53a0_AOEH-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f40b131745622506_5.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
Fujitsu,Single Split,3.4,4,,AOEH12KMCG,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.85,R32,678,50,339.00,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/6888958c0522df17afdb53a0_AOEH-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f40b131745622506_5.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
Fujitsu,Single Split,4.2,5.4,,AOEH14KMCG,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.85,R32,831,50,415.50,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a8f628c14a12c4f97a804_aoeg18kata_0.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f40b131745622506_5.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
Fujitsu,Single Split,5.2,6.3,,AOEG18KMTA,799,290,632,Single Phase,16,,1/4 Inch (6.35mm),1/2 Inch (12.7mm),25,3,20,20,15,1.02,R32,895,50,447.50,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68889567293afd880e909650_AOEH-24-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f9598317e76d391d_6.pdf,https://webstore.uk.fujitsu-general.com/AOYG18KMTA
Fujitsu,Single Split,7.1,8,,AOEG24KMTA ,820,315,716,Single Phase,20,,1/4 Inch (6.35mm),1/2 Inch (12.7mm),30,3,25,20,15,1.32,R32,1147,50,573.50,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68889567293afd880e909650_AOEH-24-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f9598317e76d391d_6.pdf,https://webstore.uk.fujitsu-general.com/AOYG24KMTA
Fujitsu,Single Split,8,10.1,,AOEH30KMTB,940,320,788,Single Phase,25,,3/8 Inch (9.53mm),5/8 Inch (15.88mm),50,3,30,40,30,1.9,R32,1485,50,742.50,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68889567293afd880e909650_AOEH-24-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f9598317e76d391d_6.pdf,https://webstore.uk.fujitsu-general.com/AOYH30KMTB
Fujitsu,Single Split,9.4,8.8,,AOEH36KMTB,940,320,788,Single Phase,25,,3/8 Inch (9.53mm),5/8 Inch (15.88mm),50,3,30,40,30,1.9,R32,1684,50,842.00,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/68889567293afd880e909650_AOEH-24-KMTB.png,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b9f9598317e76d391d_6.pdf,https://webstore.uk.fujitsu-general.com/AOYH36KMTB
Fujitsu,Single Split,2.5,2.8,,AOEH09KHCBN,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.75,R32,1120,50,560.00,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a8f628c14a12c4f97a804_aoeg18kata_0.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b905518feb13a19964_7.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
Fujitsu,Single Split,3.4,4,,AOEH12KHCBN,799,290,542,Single Phase,10,,1/4 Inch (6.35mm),3/8 Inch (9.53mm),20,3,15,20,15,0.85,R32,1216,50,608.00,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/688a8f628c14a12c4f97a804_aoeg18kata_0.jpg,https://cdn.prod.website-files.com/68791e956444d53d9ef94535/687a49b905518feb13a19964_7.pdf,https://webstore.uk.fujitsu-general.com/AOYG07KGCA
